24.60264,-82.98339
24.61065,-82.98624
24.61921,-82.98748
24.62543,-82.98748
24.64049,-82.98553
24.65648,-82.97774
24.6706,-82.9641
24.67812,-82.95144
24.68283,-82.94072
24.68467,-82.93289
24.71778,-82.89993
24.72333,-82.87484
24.72623,-82.86562
24.72628,-82.80018
24.70176,-82.76651
24.66794,-82.76668
24.61694,-82.8008
24.6145,-82.80563
24.61309,-82.8051
24.60417,-82.79801
24.6043,-82.80441
24.58554,-82.82857
24.58114,-82.83616
24.57675,-82.84905
24.57528,-82.86119
24.57528,-82.87484
24.57591,-82.87808
24.57813,-82.8871
24.58327,-82.90028
24.58034,-82.91531
24.57814,-82.92824
24.57814,-82.93711
24.57936,-82.94751
24.58183,-82.95816
24.58481,-82.96559
24.58961,-82.97482
24.59619,-82.98066
24.60264,-82.98339
30.99418,-86.38865
30.99455,-86.36522
30.99369,-86.28964
30.99386,-86.25636
30.99437,-86.23834
30.99339,-86.13065
30.99288,-86.12154
30.99286,-86.06138
30.9934,-86.05428
30.99313,-85.99994
30.99287,-85.99861
30.99362,-85.87493
30.99484,-85.74993
30.99529,-85.74962
30.99624,-85.56811
30.99687,-85.5013
31.00018,-85.27248
31.00088,-85.24363
31.00068,-85.0019
30.99707,-85.00185
30.99262,-85.003
30.98784,-85.00238
30.9869,-85.00254
30.98318,-85.00464
30.9798,-85.00593
30.97591,-85.00573
30.97347,-85.00403
30.97119,-84.99993
30.97149,-84.9998
30.97119,-84.99763
30.96879,-84.98803
30.96749,-84.98483
30.96559,-84.98253
30.96339,-84.98113
30.96019,-84.97983
30.95559,-84.97953
30.95399,-84.97973
30.94689,-84.98223
30.94259,-84.98303
30.93909,-84.98313
30.93699,-84.98363
30.93549,-84.98353
30.93479,-84.98313
30.93269,-84.98063
30.93079,-84.97523
30.92819,-84.97103
30.92759,-84.97063
30.92199,-84.96943
30.91729,-84.96673
30.90759,-84.95613
30.90229,-84.95233
30.89739,-84.94963
30.89389,-84.94643
30.88849,-84.94253
30.88769,-84.94133
30.88679,-84.93813
30.88479,-84.93502
30.88359,-84.93442
30.88249,-84.93412
30.88129,-84.93452
30.87879,-84.93602
30.87429,-84.93962
30.87259,-84.93982
30.87079,-84.93882
30.86829,-84.93632
30.86589,-84.93312
30.86429,-84.93232
30.86319,-84.93252
30.86259,-84.93302
30.86139,-84.93522
30.85979,-84.93642
30.85869,-84.93659
30.85699,-84.93612
30.85149,-84.93322
30.84789,-84.92782
30.84539,-84.92632
30.84379,-84.92572
30.84269,-84.92567
30.83996,-84.92624
30.83902,-84.92708
30.8383,-84.93214
30.83585,-84.93482
30.83329,-84.93592
30.82519,-84.93722
30.82089,-84.93742
30.81849,-84.93682
30.81741,-84.9362
30.81049,-84.93092
30.80509,-84.92832
30.80279,-84.92792
30.79729,-84.92902
30.79309,-84.92832
30.79011,-84.92667
30.77809,-84.91802
30.77589,-84.91743
30.77209,-84.91802
30.76599,-84.92012
30.76119,-84.91502
30.7585,-84.91452
30.75359,-84.91432
30.75229,-84.91352
30.75119,-84.91112
